alpha_all,beta_all,s_ss2,s_ss4,s_ss8,c_MIX,Old_crit_MIX,New_crit_MIX,t0_all,t0_ann,kao,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,wssd
2.899910855265748,1.3396841695051749,0.030393400011993296,0.010001669466140813,0.11272361659888211,2.5240420884605936,2.240372515088253,-6.331276854770693,586.7842076559501,515.8427876255604,23.700593024341643,2.458769837228067,2.1254933352960994,0.9797615858070713,0.9669530330815055,0.37185316142317093
2.899788148540013,1.3002995377106519,0.5710672521786162,0.010006172842843119,0.07340083517943723,3.7167619327638834,1.6640808593417344,-9.999567414786172,349.8563120722404,100.008239732391,41.709393306044134,3.5792513430136945,1.3268632422994397,1.23083570723077,3.4940198189478635,0.42457447502018186
1.9343053623194155,1.1048503174449307,0.276048097998095,0.01002147055950823,0.10855317749908423,2.3612288959020984,3.7281524996946573,-9.896064092502588,447.10701372205546,527.6984679367023,14.500118573878297,1.7143866826076553,2.0984006000917463,0.8127817647091893,0.02101001899542071,0.23745377277017182
1.230212552550973,0.8704968688337577,0.9541412564088378,0.010000600044284857,0.11157392376642426,1.305049637722687,5.411852395415839,-5.334635594936606,306.68041805449565,520.0403350517879,25.07508969948801,3.066010833213279,3.048165743503898,1.5452025618278562,0.7081362317326556,0.18882518973292398
2.8977358173963497,1.5703488362606268,0.07572772089322514,0.010028716126477768,0.11827039383767735,1.6385258011815245,2.0738838486146953,-2.817268250631654,562.9050962489837,564.6473362904298,60.053302582663605,3.1002521878810874,3.889615513822147,2.953306961329392,0.16565562170906853,0.40223475757905525
1.0839984293108667,0.9804714183177498,0.1618955557347229,0.010050830577796786,0.10149062739144402,1.143657762029307,6.258417645503994,-4.41599552740797,302.9773333405746,436.0359756491962,26.4186834168462,3.970637710416784,3.288132884649013,2.808770230421465,3.4401785446606676,0.20532643871769146
2.899994911159162,0.8690473293263733,0.5656640279254678,0.010001323134680608,0.09409507027801055,3.35519803292572,1.901988823251458,-9.99561789783294,573.8595804582377,405.5316122792169,19.80975080327373,3.787729511465326,3.326110774181178,1.1605490500585205,2.145304400730707,0.5760425587828628
1.385981481236432,0.9020385222850876,0.7672066583303493,0.010011958128103658,0.11702724100672822,1.8568126623527317,5.720636324950732,-7.763485968299893,411.7427579214618,540.3516748432419,13.174458839594578,2.537010978822522,3.6780346806400646,2.1594375880125973,0.9115434730503041,0.18612902472522663
2.3475884897178205,0.8958879547428383,0.11994679166219532,0.010007445182931783,0.07279041965672711,1.8585617760026947,7.822942504716365,-5.983714287107517,281.74813841920445,670.3635812470649,16.31372623193238,3.4511987899631724,1.672042273065055,0.5073295064616458,0.011247219039729278,0.19989078006728056
0.6366357033954322,1.1411135358790012,0.6733856713914769,0.010000404025470257,0.14717031725792637,0.7290450346629469,3.6368036435786424,-4.856315233912292,467.52113429073273,495.0295957779742,28.65141684785717,2.418975387999255,3.644268859981634,2.8095276161944573,0.8820381832847212,0.17610900889327566
2.8999708516714,1.3498267468637886,0.2562534895469091,0.01000017779060925,0.13929319240297156,2.624365153178134,2.316950856716601,-7.831945903210815,613.7909291332729,597.1928037231175,16.06971546345136,1.9110522850334848,2.8954356407959128,1.2994316420401395,0.006220468840594037,0.3449166488087687
2.7952179184372365,1.093626956086031,0.2670387596110131,0.010001048405932219,0.07999068814174065,2.63443972306904,5.178664407093839,-9.99938627035058,460.66578136062355,659.5671006255088,10.000395814859484,2.4627316707151286,3.749081107550781,0.5829701374329462,0.9367604786527547,0.24144819491056888
1.0270586010638554,1.1038248958381658,0.8280368393015294,0.010000204266776934,0.1412086915654684,1.0134660204785386,3.745370095528337,-6.321489357323333,500.85055605009063,607.4893385219078,19.67622986015837,2.874105115519853,3.9217328814474564,0.3576859786511215,1.4751364070595765,0.19757449514254105
2.89998990853903,1.0419223347056048,0.6644259339556126,0.010000013861516497,0.1257559195696629,2.684858879524641,3.6007012397249882,-8.64381132611127,605.6153373143686,643.6764705390461,10.000426256560957,1.6286922985900099,2.0040196295483548,0.7405936450475064,0.03404448876598062,0.36328993279137023
2.8997536549131344,1.3021877231746306,0.8534029373551717,0.010001475871003527,0.11527308624082684,2.8290583517418897,3.079660130787818,-9.797193083813482,554.1267773033308,609.426353274044,12.619330162343749,1.0930794499333611,3.4817588021019024,1.5968734586389672,0.14484719191256631,0.3156712855907655
1.5093337993589027,1.2801065870529604,0.7865831588788128,0.010146209037047226,0.09105764688784453,1.5546405830122416,2.1484948599861626,-4.698703777852697,337.8616544838748,229.4554523739585,68.85760778202078,3.2824440270597472,3.583906544378225,0.7645857287747517,2.276881937668482,0.3022496686258983
0.8553060010383681,1.2211082330475351,0.6421066815906411,0.010036849077936068,0.08395315027110645,0.5737597379230099,3.296619023881044,-2.767410966980079,351.10312035801905,385.80850502197933,71.12518249066231,3.869695155917745,2.1326586311421387,0.09807913145988521,2.9039337200285833,0.2744740287217656
1.4408758915993312,0.9429807556973655,0.11550263645358132,0.010015502597992712,0.09747170497019456,1.349811420093682,6.89445681851982,-4.599733940377118,244.2113557698127,505.85921146677236,25.6771371589766,3.4860488397190084,3.525783176147499,1.2464300269915176,3.032467380401555,0.20670375552655995
1.0531068311135678,0.8908229497365281,0.8016178582944176,0.010006777120813399,0.11663393945313909,1.127314704395172,4.474007523110495,-5.17623768643945,328.02390716578617,497.4029485565364,29.94995816818124,2.799372610791519,2.65333567867052,0.98552283777869,0.9087497492086493,0.19128616344495744
1.7323518020802862,0.9850818258337062,0.37825887557182736,0.01000930963702258,0.08746633729620372,2.4690754183306844,2.4184743236465125,-9.99697250511739,357.4403518525201,247.32752253661735,27.825837025773208,3.0213136547772437,3.0249364133794634,1.4456854936479655,2.860001555614625,0.2668829763674883
