,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,Lcmonno,Fan_ooon
0,0.24941660611987385,2.2862066094582514,0.029145705532782337,0.23158409905186297,3.231419242494317,-3.386426204534701,638.0157651219173,37.139415940933524,0.040672079639333676,0.027151542160548207,0.017151333293794205,0.019855019723203894
1,0.24932015187438025,2.286648087211453,0.029151908342539456,0.23151748875596914,3.2319611900796197,-3.3868738130365608,638.0827028005298,37.12077758742386,0.04065117745271012,0.027160070480400315,0.017159998301248515,0.01983972553495831
2,0.24948953092877119,2.2858691321522713,0.029139453618605256,0.23162324595014513,3.230842342064088,-3.385909053768396,637.9532245326211,37.15866961224874,0.040683274163125824,0.02714108963182727,0.01714103120070473,0.019862345016793508
3,0.24945152606596224,2.28604938441036,0.029143368498891774,0.23160866115206966,3.2312416393713317,-3.386269259005576,637.9917879853934,37.14585985640396,0.04068080430291635,0.027148381098944865,0.01714818075538128,0.01986160690590814
4,0.2494501207001207,2.2860694881552655,0.029146223430663313,0.23162982437445487,3.231633250498007,-3.386620372436271,638.0130530902225,37.13527209148365,0.040692673883644066,0.027154814719883142,0.017154634077690942,0.019872706200960176
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,400.0 ~ 700.0,10.0 ~ 70.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.5
