,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.6179251568227173,1.4548756692101914,0.31779315504683797,0.5190132258513955,4.29091091816047,-3.2065285039409424,638.0,37.00000000000001,0.4562661516869844,0.5907075857107723,0.16681002333864958,0.6205013400307682
1,0.559488958231883,1.607472752326503,0.3619085322370504,0.6344290150736653,1.7039428186836931,-2.923051477609819,638.0,37.0,0.363760250726535,0.6788035202453557,0.22359238094264755,0.49219427558410567
2,0.3364368915105197,1.9008081353740436,0.37887051410510786,0.36423379640717374,1.8734600200611742,-4.598270365982089,638.0,37.0,0.41990876586992026,0.6863979014038508,0.37164625195906476,0.6356021268140052
3,0.395691879070953,1.6852943288317912,0.49603378134827636,0.5118534909455529,2.1691356317508723,-4.6207067241415825,638.0,37.0,0.5913669395030122,0.6188676326533757,0.1865818744275296,0.3219840625758893
4,0.4654219590321016,1.8750993101448166,0.43290257717099373,0.6914736800313981,1.8656877940015038,-2.382024945315733,638.0,37.0,0.4343830510451909,0.8039496115579682,0.3309855450678755,0.31284348935387307
0,1e-05 ~ 1.0,0.2 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,638.0 ~ 638.0,37.0 ~ 37.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.9
