,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,2.7554192478675756,0.8402892702532075,0.011634939583189442,0.013829592274894414,0.1104559158310759,0.051026556213804655,0.020836059635723558,0.49779775456402237,6.342415169368554,-4.870442248971078,6.512224720487084,-0.9919328513007016,5.424860255528308,-4.1975207041143205,3.765436289290264,-3.0722507258960103,4.893278649967909,-1.2550372163415495,416.4261299544843,532.5649077090256,91.3189057780448,0.2507424415170353,0.935084583548341,0.635856580354414,0.04775762274691087,0.9605411131640648,0.018124239542715012,0.5740471487372749,0.15203320176467283,0.027776362226458906,0.2852780330705757,0.6578450682651411,0.4727818544024811,0.01998772243019203,0.2314025597676843
1,0.4438134614805902,1.6795820069199756,0.020871245076347928,0.06387970003267048,0.017132495028533548,0.019871981384222602,0.32111560413585993,0.989972466192417,7.199070033397069,-0.9761883742596091,2.9938539873315784,-3.1728031612024226,4.257971957920978,-4.166417797089915,4.531434233932857,-1.5574460765209601,5.65888406925938,0.9999921577536589,267.38391653431023,260.64051210051724,93.17885604099273,0.001973960991296646,0.9998680522505524,0.9997685128961057,0.9999979936430593,0.013830583583119314,0.00015198314462688914,0.5161856612061927,0.8367781979653864,0.003191402103300611,0.1682306700733702,0.9539571595404701,0.998416044977156,0.9881518462034553,0.0004062170367781486
3,1.3920532928888867,3.072498336254331,0.01000000028093242,0.5024898944374098,0.5041648692316677,0.4888276569891391,0.47727564164254793,0.9899999998716827,7.661859881117316,-4.93974475507603,8.905369768256064,-1.3510397073910092,5.229173089435823,-7.192859856418459,1.9172830419115447,-3.6731224387648016,4.436902383597551,0.9999999972984842,630.3261571984722,608.7637153835975,10.000000004225651,0.1443271593954449,0.7130101473317338,0.7363969952037774,0.73261602828177,0.7417997238906499,0.00010000790219626941,0.5492766770175415,0.9685876393075407,0.07332315655792582,0.11536613241873525,0.8088113965256016,0.9999999999589306,0.9899999999178577,0.2438949486806229
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,100.0 ~ 900.0,100.0 ~ 900.0,10.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
