,alpha,beta,s,c,c2,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.8343748966869454,1.0879024561441648,0.031931048088952245,0.9808085051375524,0.48915131951024904,2.24495461405411,-9.85235299115361,500.0,22.0,0.0033333333333340183,0.0033333333333336644,-0.0033333333333336636,-0.0033333333333329927
1,0.8371984105656594,1.0682860125542328,0.03156025175161181,0.9869141797041752,0.4801904396421856,2.2339785281534783,-9.910126128082318,500.0,22.0,0.0033333344436049573,0.003333333435110933,-0.0033333338538691793,-0.003333334004779024
0,1e-05 ~ 1.0,1.0 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.2
