,alpha,beta,s_ss24,s_ss8,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.6310348161130126,1.201551151050085,0.019476588702045192,0.02325905053567232,0.9899996202942708,5.299915724268993,-5.111703699479008,500.0,22.0,0.5444597345232357,0.06447150988289317,0.05447145805472623,0.49999935180574007
1,0.6310345722763239,1.201553869605711,0.019476659083287003,0.02325907914032929,0.9899978692650239,5.299919658256941,-5.111699765277751,500.0,22.0,0.5444587177833421,0.06447253127310698,0.05447227355567209,0.49999835781320023
2,0.6310343024231105,1.2015489914198254,0.01947650616222815,0.023259009722697118,0.9899995004336465,5.299917202728248,-5.111702162129149,500.0,22.0,0.5444601257320344,0.06447153356158787,0.05447146608806815,0.4999997062835976
3,0.6310354042606703,1.2015531835220796,0.019476467766763754,0.02325899098778978,0.9899995727415127,5.29991551382022,-5.111703979655651,500.0,22.0,0.5444599672699376,0.064472072450554,0.05447202389352865,0.4999996772189863
4,0.6310341426292263,1.2015522911447498,0.019476651516053427,0.023259080233348568,0.9899978598073735,5.29991906250172,-5.11170030350143,500.0,22.0,0.54445867938337,0.06447287178080133,0.0544725264832387,0.49999831930655986
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.5
