,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.08018632309316498,3.0,0.03434914594200792,0.08766719291121469,4.932008066094345,-3.8109473638716023,500.0,22.0,0.0,0.0,0.0,0.022912740218174153
1,0.08020163174572054,3.0,0.03435263482370749,0.08768110872321981,4.931998710715761,-3.811021673092135,500.0,22.0,0.0,0.0,0.0,0.2
2,0.6128563027563195,1.0,0.03442566633997497,0.99,1.975516920351336,-9.468314152707558,500.0,22.0,0.0,0.0,0.0,0.2
3,0.08019388937227823,3.0,0.03435206752320148,0.08767697009558358,4.931936874535667,-3.8109872087047223,500.0,22.0,0.0,0.0,0.0,0.14987149521863743
4,0.610690993080297,1.0002624264573317,0.03432983698465513,0.99,1.958933917080427,-9.539958262344138,500.0,22.0,0.0,0.0,0.0,0.2
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.2
