,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.38687882670357493,0.8043010233599275,0.028885127602106948,0.7096547222940766,4.297502924692489,-5.253133416592639,484.601574005366,21.268080567095875,0.25757317007419567,0.15643353357497183,0.14643321800953318,0.2078074690521211
1,0.3868773815003098,0.8043827754112935,0.028883920282116348,0.7095173495561341,4.296794630423347,-5.252375213184772,484.60251860944396,21.274484716351516,0.2574683748909266,0.15639725239100774,0.14639687484729874,0.20770751768112194
0,1e-05 ~ 1.0,0.2 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,400.0 ~ 700.0,10.0 ~ 70.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.9
