,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.2113312771551985,2.082333080134335,0.017555396266595732,0.1657139572181694,1.9883332254008377,-2.7552159371990497,501.77809692878947,69.9984676413726,0.0,0.0,0.0,0.25266620464995837
1,0.21133339248821212,2.0823188837793696,0.017555321410630646,0.16571525127726175,1.9883256035220886,-2.7552044968742817,501.7752111336492,69.99967103541259,0.0,0.0,0.0,0.23928139014738684
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.5
