,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
1,0.1822918857459299,2.506296796094087,0.010385003166346331,0.0719853225277684,0.21708635202318477,0.33534933807224127,0.0671322664391944,0.13919254985142518,9.536829891250466,-2.1740594172842247,5.604657033047028,-2.9914566899831887,3.5510854935842775,-6.669475673391403,9.698709922604927,-1.9851430289244896,9.106130506925947,-2.6649930936200947,529.277990721741,573.0091949630514,21.15119228030984,0.040717353310467164,0.3142543927662118,0.8076582432488286,0.4144670474171728,0.13698821512467058,0.00010000000000000022,0.3307983757581659,0.45585588708452657,0.16360649103987074,0.025668116128357434,0.44056862384512785,0.8415483989420757,0.47290665876839433,0.08842394472146524
3,0.1643550279016718,1.938262249132275,0.010000000052241288,0.021142659479604285,0.3381884314203202,0.17292741497138353,0.11165248178923945,0.14271584466238124,3.447900740422407,-0.7077154095663556,1.0063933576317328,-1.434204949597778,2.458609471009909,-2.5357688699849263,1.6802564620746419,-2.2400673952387953,2.9080658171683678,-2.7135373516116323,733.4938169606492,708.8185833889729,32.04489107740422,0.00010020393817398036,0.037546138561132064,0.9950647548311499,0.028658401697890905,0.04215406876655004,0.006977489153899123,0.010106945056809612,0.2480377473106743,0.09255337689772372,0.00010002586904632751,0.054947542479190425,0.93782564601522,0.46180994263720515,0.043407149918671666
4,1.3423800215144777,3.6904561881996574,0.010007661127098878,0.41137769648277933,0.1964994375640952,0.7572186233571296,0.44945018200119236,0.13441552781701607,1.2185348025712481,-1.666633675735253,1.0010714810839754,-0.8993543940056968,1.6270085027674392,-1.9896425442253654,1.2411595926280234,-1.722798852061499,3.1279193422529437,-1.23891770424184,720.9024927040005,677.1030243002713,63.032245879947475,0.00010000069333361844,0.010204480981946852,0.8130823445692671,0.01022620437434148,0.07891522063429242,0.00010639603263982144,0.010106258355532765,0.010230168076845727,0.00010387428113712103,0.00010000010535336589,0.025939747681074436,0.0710232317978903,0.033308002243954804,0.015936935265195316
5,0.36993750759471117,1.3489227569392737,0.02522716175739522,0.39770513111250994,0.5329886378163338,0.5787010902885843,0.3639427069207091,0.4323546908447474,3.2533024196700655,-3.3896543525090053,2.4461911023421705,-3.879458240663495,3.1647930999635427,-4.065186954145575,2.989816409324635,-3.795691544230054,4.121502966609463,-3.4131609590522984,512.1038529050396,536.956479599912,39.55379602598707,0.1069415248352636,0.11694152483526386,0.10407696346059403,0.010099999999999842,0.17326793762244078,0.0001,0.052963176380773885,0.078805795651495,0.0688057956514936,0.0001,0.17844387240782855,0.01755169438010965,0.007551694380109508,0.14036985826789747
6,0.17845851010446173,0.5530225784218766,0.027443133038744343,0.8195918768619352,0.99,0.99,0.793185807192621,0.8203098908999041,7.197545917613104,-5.359943710913685,5.105186013759957,-6.570531906633891,6.176086754865113,-6.947115504710677,6.140679888865899,-6.408185295503199,9.993452948088299,-4.812293357888625,469.84818929522686,468.6129175426299,13.11078581036518,0.5118769939261472,0.5218769939266862,0.3383582961584076,0.20977531766060611,0.5218769939267315,0.19977531766113607,0.4274499666823104,0.16409802436357032,0.1540980243634203,0.3732511661599037,0.6027287445455901,0.010100000003364596,0.00010000000241194982,0.5774388743930906
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,300.0 ~ 900.0,300.0 ~ 900.0,10.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
