,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.25031046327905554,2.2825223723486916,0.029169246050207747,0.23287552095833092,3.2381680044557335,-3.3926623579448747,638.0,37.0,0.041252853664836574,0.02725755504487989,0.017257507710962336,0.020355798107091233
1,0.2503080481746976,2.2825337789936966,0.02916926587036522,0.23287290180443676,3.2381715791541956,-3.392658981774566,638.0,37.0,0.0412520635291919,0.02725750100990439,0.017257492935716493,0.020355200216222953
2,0.25031081559794693,2.282525020346366,0.029169270493394805,0.23287580911379582,3.238166101703379,-3.3926646017037374,638.0,37.0,0.04125280361377477,0.027257741822782598,0.01725763800874647,0.02035574417820882
3,0.25031128014738374,2.282519517299216,0.029169172224731914,0.23287616972619815,3.2381682541275736,-3.3926615897184194,638.0,37.0,0.04125318814113213,0.027257926837549202,0.01725781659856508,0.02035611723844901
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,638.0 ~ 638.0,37.0 ~ 37.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.5
