,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.21698958376284846,1.9366014139663932,0.014642833587725867,0.1628434400188305,2.391622982271715,-2.8734135152189713,638.0,37.0,0.02185359345463121,0.035858893539829344,0.025858759233813488,3.824971913629538e-08
1,0.2169880580101606,1.9366122111994877,0.01464277109549491,0.1628419463309642,2.3916244495788077,-2.8734124488778434,638.0,37.0,0.021853450841910992,0.035858528928977534,0.02585851510161721,1.3756668729974298e-08
2,0.21698809419395623,1.9366113694679161,0.014642774059779961,0.16284199048664372,2.391624419340925,-2.873412343136847,638.0,37.0,0.02185344155504758,0.03585858284349693,0.0258585491908295,6.2426371253120446e-09
3,0.2169889473670649,1.9366062377277715,0.014642786444649754,0.16284276494710237,2.3916235067722056,-2.87341320626009,638.0,37.0,0.021853519777806935,0.03585894728184488,0.02585880293337591,3.562295572479951e-08
4,0.2169890051372713,1.9366065610965804,0.014642787156427564,0.1628427848415662,2.3916234799222953,-2.873413229119898,638.0,37.0,0.02185351808289124,0.03585899812711061,0.02585883544818995,3.2190606074598516e-08
0,1e-05 ~ 1.0,0.2 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,638.0 ~ 638.0,37.0 ~ 37.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.9
