,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.08018660682005437,2.9999991151844836,0.03434962545700444,0.0876673677263205,4.93206741628244,-3.810890888717377,500.0,22.0,0.0,0.0,0.0,0.09344582073131352
1,0.08018697317426389,2.9999960538921977,0.03434974712889267,0.08766795344517235,4.932056269664122,-3.810899628763181,500.0,22.0,0.0,0.0,0.0,0.10172684159866113
0,1e-05 ~ 1.0,1.0 ~ 3.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.2
