,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,0.269059122519081,1.0117380716650783,0.01,0.24732463606339963,0.17491368976540547,0.2739098780688167,0.1479162921495526,0.13777646090801607,1.1923905904441854,-2.379816884949004,1.6552654471197032,-1.582462488697511,1.196716953314577,-1.7348523547857033,2.0157366159494696,-1.6249272032582214,2.1281189780915915,-1.4363867175172031,1.0,1.0,5.0,0.00010000000000009415,0.010100000000000522,0.08402948886538736,0.010099999999999372,0.010099999999999384,0.00010000000000039888,0.01820728533311453,0.02012089677796688,0.010120896777966942,0.0001000000000006684,0.028207285333114555,0.011422244289882056,0.0014222442898832973,0.0001
1,0.269059122519081,1.0117380716650783,0.01,0.24732463606339963,0.17491368976540547,0.2739098780688167,0.1479162921495526,0.13777646090801607,1.1923905904441854,-2.379816884949004,1.6552654471197032,-1.582462488697511,1.196716953314577,-1.7348523547857033,2.0157366159494696,-1.6249272032582214,2.1281189780915915,-1.4363867175172031,1.0,1.0,5.0,0.00010000000000009415,0.010100000000000522,0.08402948886538736,0.010099999999999372,0.010099999999999384,0.00010000000000039888,0.01820728533311453,0.02012089677796688,0.010120896777966942,0.0001000000000006684,0.028207285333114555,0.011422244289882056,0.0014222442898832973,0.0001
2,0.269059122519081,1.0117380716650783,0.01,0.24732463606339963,0.17491368976540547,0.2739098780688167,0.1479162921495526,0.13777646090801607,1.1923905904441854,-2.379816884949004,1.6552654471197032,-1.582462488697511,1.196716953314577,-1.7348523547857033,2.0157366159494696,-1.6249272032582214,2.1281189780915915,-1.4363867175172031,1.0,1.0,5.0,0.00010000000000009415,0.010100000000000522,0.08402948886538736,0.010099999999999372,0.010099999999999384,0.00010000000000039888,0.01820728533311453,0.02012089677796688,0.010120896777966942,0.0001000000000006684,0.028207285333114555,0.011422244289882056,0.0014222442898832973,0.0001
3,0.269059122519081,1.0117380716650783,0.01,0.24732463606339963,0.17491368976540547,0.2739098780688167,0.1479162921495526,0.13777646090801607,1.1923905904441854,-2.379816884949004,1.6552654471197032,-1.582462488697511,1.196716953314577,-1.7348523547857033,2.0157366159494696,-1.6249272032582214,2.1281189780915915,-1.4363867175172031,1.0,1.0,5.0,0.00010000000000009415,0.010100000000000522,0.08402948886538736,0.010099999999999372,0.010099999999999384,0.00010000000000039888,0.01820728533311453,0.02012089677796688,0.010120896777966942,0.0001000000000006684,0.028207285333114555,0.011422244289882056,0.0014222442898832973,0.0001
4,0.269059122519081,1.0117380716650783,0.01,0.24732463606339963,0.17491368976540547,0.2739098780688167,0.1479162921495526,0.13777646090801607,1.1923905904441854,-2.379816884949004,1.6552654471197032,-1.582462488697511,1.196716953314577,-1.7348523547857033,2.0157366159494696,-1.6249272032582214,2.1281189780915915,-1.4363867175172031,1.0,1.0,5.0,0.00010000000000009415,0.010100000000000522,0.08402948886538736,0.010099999999999372,0.010099999999999384,0.00010000000000039888,0.01820728533311453,0.02012089677796688,0.010120896777966942,0.0001000000000006684,0.028207285333114555,0.011422244289882056,0.0014222442898832973,0.0001
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 900.0,1.0 ~ 900.0,5.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
