,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.3538854280842036,1.47447012567579,0.008335825323403425,0.4259388219967582,5.271825947958629,-3.9079342429640764,500.0,22.0,0.0,0.0,0.0,0.2554098538485081
1,0.3592659510274668,1.4496151688624348,0.008389709114997508,0.4384906195223456,5.217422075300514,-3.9492087130677263,500.0,22.0,0.0,0.0,0.0,0.26122692861833785
2,0.3537596677809896,1.4757947905801805,0.008330754247558655,0.4254519919891257,5.274132062455024,-3.9063489731570566,500.0,22.0,0.0,0.0,0.0,0.25517932336348764
3,0.35376428152089395,1.4758338605346093,0.008330397744501917,0.42545084277091116,5.274141041418823,-3.906347977722051,500.0,22.0,0.0,0.0,0.0,0.25517971928321914
4,0.3537742229222928,1.475754878666102,0.008330234054648408,0.42546413644852504,5.274244888403268,-3.906241158823491,500.0,22.0,0.0,0.0,0.0,0.2551936589894634
0,1e-05 ~ 1.0,1.0 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.9
