,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.04721395678979804,4.584820654603888,0.0212748289949232,0.04151553841878505,5.335924573907995,-3.489854905626515,500.0,22.0,0.0,0.0,0.0,0.2
1,0.04721231531045601,4.5849665031789995,0.0212745927989642,0.04151468603652014,5.3358451891709855,-3.4898937484658137,500.0,22.0,0.0,0.0,0.0,0.2
2,0.0454095134166192,4.484680594002544,0.02001622599476999,0.03731436453697526,5.703343949573846,-3.2639988234657062,500.0,22.0,0.0,0.0,0.0,0.07381765461151492
3,0.047217979427549246,4.584449040071787,0.021276433796651752,0.04151923414868822,5.336027258850548,-3.4898236734708967,500.0,22.0,0.0,0.0,0.0,0.2
4,0.04721328518253886,4.5848142297683605,0.021274660523445062,0.041514974078682834,5.3359385605449035,-3.4898439036886777,500.0,22.0,0.0,0.0,0.0,0.18525734937122984
0,1e-05 ~ 1.0,1.0 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.2
