,alpha,beta,s,c,c2,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
1,0.7786656268760515,1.0097425137437153,0.03842359541398483,0.9899998372959102,0.5037598972764464,3.5447727977735455,-6.107502819541077,500.0,22.0,0.0033333333333338735,0.0033333333333335135,-0.003333333333333557,-0.003333333333333027
2,0.7790832951463649,1.0102857845960975,0.03843674282033326,0.989997976348679,0.4784965563772479,3.5460782573763043,-6.105530170965586,500.0000000000026,22.0,0.0033333332063108173,0.0033333341116853752,-0.0033333324257118226,-0.0033333333132140757
3,0.7799908052383593,1.013134846092623,0.038439259702926915,0.9899808634619084,0.4975081443124471,3.546575559449013,-6.104738457146881,500.0,21.99999999999996,0.0033333331991090495,0.0033333334255615634,-0.003333333379579693,-0.003333333260647021
0,1e-05 ~ 1.0,1.0 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.0,0.0 ~ 0.2
