,alpha,beta,s,c_MIX,BDDo_MIX,BDDn_MIX,t0,t0an,kappa,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew
0,0.38980477994902346,0.5451040105104826,0.01745286998597122,0.6834471514437279,3.1103015706015604,-4.121377604942656,300.23159727899446,300.1757434950657,57.12644585287273,0.20957520585540915,0.08349095983926594,0.07349095983926421,0.17097365118800173
1,0.43048872660167653,0.6309986812372883,0.01629834637972286,0.5694331133385055,2.751771049335017,-3.616286027610535,301.2236996227621,352.78127764908885,72.87296862611112,0.1247780369796407,0.0936818350680954,0.08368183506810069,0.06557180807031389
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 2.0,1.0 ~ 10.0,-10.0 ~ 1.0,300.0 ~ 900.0,300.0 ~ 900.0,10.0 ~ 100.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0
