,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.38550581154850044,0.8835186225551448,0.029708685319013488,0.6488461605947817,4.109117142421238,-5.078462877564324,500.0,22.0,0.21303841279205446,0.14714148083507136,0.1371408196127373,0.16467166684069
1,0.385504108070768,0.8835165892122039,0.029708632014846276,0.6488449929576624,4.109118916683586,-5.078460959405384,500.0,22.0,0.2130382930261343,0.14714093452106713,0.13714045461459676,0.1646716601789334
2,0.3855046226498126,0.8835180192100087,0.02970864861004865,0.6488449942818505,4.1091184800660105,-5.078461455404439,500.0,22.0,0.21303811671902767,0.14714168097051855,0.13714096897381553,0.16467153724089711
0,1e-05 ~ 1.0,0.2 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,500.0 ~ 500.0,22.0 ~ 22.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.9
