,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,0.39885522963156167,1.227822633951244,0.02753082791411154,0.01,0.6301906717934682,0.6468558961832889,0.4489593047785973,0.5425559810220419,7.70733511371268,-7.736556050511262,2.4668143858919143,-4.157449821543407,2.995181209625227,-4.484745818753798,2.9107482399686253,-4.079900882248255,4.043502468883826,-3.7495095528980045,500.0,502.86754122952823,38.327032198417854,0.12961586197518446,0.13961586197518425,0.12235465466405539,0.010100000000001098,0.1607358787106271,0.0001,0.06306608347587672,0.0888012936604954,0.07880129366049674,0.024631911034885955,0.22357151663306202,0.01262101386899559,0.0026210138689956586,0.19518431146694534
2,0.5956708484975888,1.4884310631214677,0.022377908850517266,0.7895218476776811,0.969775892152035,0.9899999999999941,0.42417899224720823,0.7553253120364867,4.555130470107813,-4.953271862504006,3.4921344598353246,-5.713609166416039,4.203175878199384,-6.165764078243294,7.1117353328566555,-3.2918085066123717,6.266452990098579,-4.6791744586806,500.00000000000085,605.6587642483114,20.00000000000001,0.3671965934136716,0.3771965934136721,0.20666625459133534,0.08711961531100422,0.3988637789516921,0.07711961531100422,0.23308599977174782,0.12080808095170734,0.11080808095170903,0.08233585711949705,0.42295974699409056,0.15088105614907213,0.14088105614907778,0.31869845041073286
3,0.4557478262234723,1.0217198645949306,0.026906670945605397,0.7418912795900836,0.9514254183726782,0.9899999999999992,0.6353991022691121,0.8232735411143337,4.53862150801416,-4.661197298213605,3.294406700185469,-5.819835590105502,4.052512149589276,-6.143311723314826,4.332311639682648,-5.095221893138748,5.7512156108358425,-4.858954131631039,500.697291576392,537.0254500431056,20.859566644382507,0.33721893971062705,0.34721893971062723,0.12555115877312484,0.02274538198423366,0.3981134332957639,0.012745381984234614,0.20859854993056462,0.19332382809535875,0.18332382809535924,0.13452813411940273,0.4541378656013431,0.07181293320860821,0.06181293320860738,0.39860214662320215
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,500.0 ~ 900.0,500.0 ~ 900.0,20.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
