,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,0.38590797186478465,0.9057812758059673,0.030452822291703888,0.7979788350646536,0.99,0.99,0.704885652704378,0.9037051404837307,2.9201464319737824,-8.785652786057648,2.332801026790034,-9.43311881316727,4.132366999797288,-6.9407812102986455,4.034561967560712,-6.143111105920754,5.756069496776954,-5.6728929480682195,533.9779027613068,529.6543327965354,16.94068864914641,0.140537414689915,0.15053741468991838,0.15083003427337568,0.016774582354554434,0.38021908742964694,0.006774582354553103,0.20684586011938633,0.18073041322000916,0.1707304132200048,0.16994491022522273,0.48773676321612125,0.031719891436016445,0.021719891436012526,0.46196965705900245
1,1.6205861261288248,1.347980631651725,0.01,0.9899960020229178,0.989997305885351,0.9899845239478274,0.989999546863487,0.5356641737231739,3.336283974964121,-2.931487213477803,3.155812289719721,-2.7416418123801662,3.7427211982968127,-2.7643469613193927,3.2637502649661827,-3.437998558909658,5.792511838173301,-2.205339362112452,267.71893048345225,127.8899916115878,77.4304109668687,0.40622491800888794,0.4162249180088885,0.17587240322874048,0.12183809720918663,0.44179695884733705,0.11183809720918376,0.3876738898702132,0.1155454160837328,0.00012445471474345629,0.3776738898702135,0.39767388987021357,0.1450626700175009,0.00010238745679177577,0.38527854855677035
2,0.4667478804978811,1.024464325668514,0.019650990604505904,0.5199474805946861,0.7098709169879939,0.7633996493539187,0.5132630497202673,0.6056358381919725,3.250981787209698,-3.251283836521628,2.4984807154636957,-3.9592409029962603,2.70983507907449,-4.525853076740615,2.961340243371612,-3.7317610057785955,3.7995968610481334,-3.550527487786507,415.26483021344853,427.31473865996117,51.14813778478621,0.182683283989151,0.19268328398915113,0.11975890908664258,0.010099999999999701,0.19268328398915058,0.00010000000000017749,0.12042103976431132,0.08818506817661423,0.07818506817661426,0.07710568868941468,0.2670073279552489,0.0161865937598872,0.006186593759887144,0.23312362366264497
3,0.5710286349464312,0.7245179206834631,0.014208063995184874,0.7272747117513483,0.99,0.9899999999999608,0.6048887226586805,0.6368268876829949,3.7997796587092227,-3.4524810589577037,2.8678273950382698,-4.3717777390117964,3.1695130327228096,-4.501749996063657,3.6084454263868153,-3.73587284212561,4.765727202384623,-3.2368961053306133,257.81231462763714,448.0597869974451,57.45878587864586,0.34469007654494244,0.3546900765449649,0.19795836064874414,0.05556467972259034,0.3546900765449158,0.04556467972238911,0.18716233599273588,0.20097842846912026,0.19097842846906612,0.0516416176187367,0.3473271625157874,0.10481717304450876,0.09481717304431984,0.2147408131105851
4,0.6197597928119365,0.8458860328180595,0.015174570389849866,0.7448333222510013,0.99,0.99,0.8729518188144312,0.6235452626749077,5.913637464627025,-3.358921673001529,4.21378447074816,-4.5215240026160375,4.71746859162024,-4.499602514607064,4.7182182023289885,-4.40247800772753,8.21969667501141,-2.99500232114223,260.12245497092846,248.39839987821503,37.51494814008201,0.49167932296826317,0.5016793229682667,0.32848043724182424,0.19243128667402923,0.5016793229682642,0.18243128667403205,0.4612616886329595,0.11518499541605978,0.10518499541605986,0.4229723670189955,0.4712616886329596,0.023020233431611234,0.00010000000000001312,0.4480319238539011
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,100.0 ~ 900.0,100.0 ~ 900.0,10.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
