,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmooon,L_cmoonn,L_cmonno,F_anooon
0,0.33667433108882194,1.7024469566452014,0.6815738586631682,0.5437091801264786,3.9348639785513964,-3.625222064104838,638.0,37.0,0.34102247315542356,0.79451453299671,0.33147076178757084,0.3251198164139184
1,0.4732790715243289,1.950475966581048,0.5799793446625084,0.49841648549298756,2.973428614692718,-2.917984815833898,638.0,36.99999999999999,0.44895105235256033,0.8371055723589532,0.4301873202566754,0.464857795235537
2,0.41415908569041127,1.7848450507791807,0.38681867427150385,0.42593285188161284,1.704993882845582,-3.577880460912669,638.0,37.0,0.3317636686692625,0.7176817685391759,0.2936495203376393,0.5986017134317316
3,0.6259757456709908,1.7991894616814534,0.658065402030738,0.34734112891651914,4.403629506909838,-4.366160006305349,638.0,37.0,0.6992640545872997,0.816745340659055,0.43129974548575367,0.34245884782489083
4,0.5391454753275515,1.6920541865274894,0.4360405234050191,0.6417747566915446,4.716895842330956,-3.126197278003155,638.0,37.0,0.4896278961764266,0.7684677935577894,0.20407848374935855,0.3627809857889097
0,1e-05 ~ 1.0,0.2 ~ 6.0,0.001 ~ 1.0,0.001 ~ 0.99,1.0 ~ 10.0,-10.0 ~ -1.0,638.0 ~ 638.0,37.0 ~ 37.0,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.99,0.0 ~ 0.9
