,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,0.37152748649992845,1.304101213278158,0.02661963230739423,0.5009171702276685,0.4631782828341572,0.5962474617259164,0.3990500482292131,0.48516026168276816,2.072529903768929,-5.813692630092848,2.275983362792789,-4.21627606849419,3.1473375041058924,-4.230105708005772,2.778309310989138,-4.192094848950815,3.9146813932782454,-3.7805295624541166,537.6737245226523,300.0,35.984251047463495,0.0001,0.020160411810204313,0.07780696997302498,0.04057057140387934,0.1659557297687753,0.0037664977764179848,0.039646628720525164,0.07941594990572637,0.06941594990573532,0.0001,0.18491691047794612,0.010099999999998912,0.0001,0.15963889504073123
1,0.24249173064123572,1.8879784497778136,0.04101985853672085,0.36864576778975117,0.7464516017645678,0.5014133495228665,0.31997992246193463,0.41979058493911137,4.060709644638001,-6.2874514083327435,1.8411467827563754,-9.308160263395857,5.977545914027406,-5.195104055023622,3.929266131269284,-6.2800962928801844,7.082546080544344,-5.282504877759013,666.0304722972992,300.0,10.000000000042943,0.07186500470518943,0.08186500471070203,0.27840701849508936,0.010099999993898977,0.23216168273443488,0.0001,0.03599076878700342,0.11756697092083361,0.10756697091808265,0.00010000000260276495,0.2011910353033009,0.038971254935596326,0.028968034976005103,0.1805356127914421
3,0.458218338331885,1.058961461811212,0.020068595379324934,0.47599816758191554,0.6691359918442765,0.72159359610774,0.4811862620793409,0.5663989798433366,3.190489740233306,-3.05878618625973,2.3858394716218148,-3.717904360052468,2.782732146060187,-4.001515807781324,2.813568507713197,-3.60125119480176,3.498769398032858,-3.4481151422427145,413.58939727855983,300.0,56.955182080218734,0.15915674326960857,0.16915674326960858,0.13218587988130864,0.01010000000000001,0.20273355712039826,0.00010000000000006216,0.10456649534312704,0.06510292328401523,0.05510292328401522,0.0625290203662814,0.2244268886478326,0.01009999999999997,0.0001,0.2001195743041895
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 0.999,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,0.01 ~ 0.99,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,300.0 ~ 900.0,300.0 ~ 300.0,10.0 ~ 100.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0,0.0001 ~ 1.0
