,alpha,beta,s2,ss4,ss8,c_MIX,BDDo_MIX,BDDn_MIX,t0,t0an,kappa,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,wssd,w
0,0.3378312522271063,0.5734844626269463,0.01,0.018717924169250416,0.01953968232537071,0.6726840777792207,3.891089696888265,-4.435510324271068,376.02536289792033,409.32892435439487,36.258037482660136,0.2689737454332797,0.1366236845636931,0.1266236845636931,0.20158751945536388,1.886720603586045,new_rt:8
1,2.053333133646059,1.3300569550911263,0.010000000000000002,0.022943639413033783,0.018850140026323983,1.8074489546922528,6.3527862922414915,-5.6789431021057,333.8429217611289,605.0163760125505,18.87575065121635,0.8560176316147737,2.0,1.7571070989570137,0.20371258327953395,2.5918689721246615,old_rt:2
2,0.45826673100082155,0.36045081978990795,0.010000000000000007,0.014210109973627098,0.013620994832200129,0.9250021930115608,4.4210586972724135,-4.503709203034015,84.5622003112421,210.4968573016893,50.74382130243207,0.44833550862382693,0.196886046584588,0.186886046584588,0.3422708444420028,13.044245588823024,new_err:4
3,0.45086207883642365,0.5615531137513466,0.01,0.019643803428774673,0.020314009359326694,1.0040429760418181,4.844573543886987,-5.680735975424435,365.60550364698474,377.6394989132012,23.515566072698345,0.5018360204459935,0.18572713220006956,0.1757271322000696,0.4349743225791415,0.2625520108885547,old_err:1
4,0.43983520409643434,0.41149175729166687,0.01,0.014605650995214117,0.014270347947741381,0.8443724478439633,4.04909664852225,-4.273542948991486,149.4225993557347,224.48433246902974,53.377762646655164,0.38520904539088274,0.15101275712483966,0.14101275712483963,0.303525153675312,12.226542856040208,--------------
0,0.01 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,1.0 ~ 10.0,-10.0 ~ 1.0,10.0 ~ 900.0,10.0 ~ 900.0,5.0 ~ 100.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0,--------------
