,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew
0,0.3820686296482408,0.4825328177132797,0.022927723893508053,0.6905698018356496,0.8754912364898872,0.7200026028505137,0.7961712723762782,0.8886308284200097,8.98843112605993,-9.811692493768994,5.997763861880295,-4.681440612112198,5.666282687244974,-2.784519120142048,4.607498557041997,-4.973443393553791,6.424234590216747,-0.1,309.4475228469501,425.12028755953946,31.211322668170457,0.365235818321909,1.6691184471747542,0.685988497297596,0.8312698041227221,1.11976588352594,0.47901533847830163,0.3193273701937096,0.24940550270668965,0.23940550270616906,0.20822611860500603,2.0,1.6149880903606724,1.6049880903645202,0.258760251818345
1,0.4789313217385229,1.121917392009752,0.038036438565559806,0.4286988270292301,0.7297748314054595,0.7215338594087516,0.5956613666949094,0.36472289249933626,7.42213305644606,-1.778400987158939,5.545099207466143,-9.92580709157421,9.911388693754876,-2.310093104352495,6.2700170085263425,-5.998846717049987,5.996483694033125,-0.1,571.2405910380259,680.379914238016,10.0,0.6421176980871083,1.0858334643971401,0.24220260867834853,0.5794806159022586,1.0458253642243465,0.21104739415756324,0.1593753717926798,0.4370038557641661,0.42700385389226314,0.0001,2.0,0.43874015094444313,0.13348017587991157,0.43806995166516777
2,2.8863841118194697,0.5583350701699042,2.0,0.3920395086941429,0.5329723515000747,0.30690106177598453,0.010000000000000007,0.4084096197865224,6.487703256402374,0.40402433485905576,5.4633021558696075,-5.8280169382850815,2.0121718547765797,-2.7301925124051296,7.683547488914321,-9.99925694759585,8.472796938923377,-0.1,618.5794839587965,533.5707969190604,24.342532036396513,0.09047980877416918,0.7644694646751726,0.8430012995020444,0.7364124995788719,0.6275726077681718,0.05470313726114244,1.0882487442216005,0.010099999999999998,0.00010000000000000736,0.4272020690761035,1.3191768774189774,0.8221145374996613,0.04110265781716353,0.8779255549245906
3,0.4200234103960243,1.0769625867206172,0.036426551636219995,0.045806620267115655,0.35173135316355125,0.47448517536095364,0.5894926706888088,0.7553708346864202,5.271550388561451,-3.6294521291959736,5.420901233219116,-2.214449152467828,9.371245364742085,-2.1519960793045056,3.9289314235972057,-5.229829674553747,9.26719389599806,-0.1,551.2895560779833,566.5644473031009,19.249821209508383,0.7994325513875737,0.8710602877924101,0.7489646818737928,1.0897618132738176,0.9547831578748979,0.08477193753437302,0.12772535934294021,0.18391012826705952,0.17391012826705773,0.06942011803306058,1.9999997635653517,0.8404355111929229,0.5404955757701506,1.989072573965439
4,2.9,0.8176421881757477,1.8021950605418517,0.8236285942186331,0.9441212270355387,0.9875490389530079,0.010000000000000023,0.9850346356505402,3.0061026888662843,-1.6010991738482083,7.50281533053757,0.004007427097093341,5.531513043507097,0.26573428317108316,5.548753190591278,-6.559826802713603,4.8896428684689575,-0.1,496.8300919804714,412.030854793598,55.621724375161925,1.1252129905737858,1.15458295846687,0.9868327640913178,0.8698510551289014,1.1477432220450647,0.7277463454403242,1.287189389076926,0.010100000000000015,0.00010000000000001686,0.4528580682402444,1.2998554768366664,0.6817580305376915,0.1152233307223722,0.15589193991207617
5,0.372369588125529,1.1719531688437854,0.023314592735085467,0.5126468303205244,0.8986476573436106,0.9556602367473878,0.3513196278564651,0.6966831451833636,3.0228743566254304,-9.01100982740646,3.457165896858515,-5.405873808113248,7.173395291590122,-2.4189930310601984,2.4786011448190712,-3.1822572714032518,9.533625010351448,-0.1,475.34715128310756,471.3757281437725,61.23488256921258,0.015789948839642312,0.0991839112607618,0.6135953316996084,0.7845390528691205,0.5222735354711334,0.39546067736353907,0.03488172306236399,0.06185939067720583,0.051859390677205845,0.00010000000000001956,1.5340811392592073,0.83422725601767,0.693024248899685,1.4810987006913627
6,2.899999999937497,3.9999999999675553,0.010000000000002469,0.030508534935885206,0.3466214370502576,0.4071534172259,0.3979912803353172,0.34871421210824827,9.091282676254377,-7.025134060997754,6.395370895837237,-6.891163436783613,7.634944680317443,-7.08386091905993,3.1596459944497832,-1.1837405916294907,8.77528725059257,-0.1,539.4362758626183,535.8767214597456,97.69516441518091,0.22597370041747103,0.2608353904126515,0.4552046376939017,0.3978782628784561,0.26030661296239416,0.3382153879861824,1.837787665614718,1.9999999999992417,0.31530849318506676,0.03226525703365668,1.8490392485208422,0.7958268816484976,0.7549366261579609,0.6097031437382939
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,0.01 ~ 2.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ -0.1,300.0 ~ 900.0,300.0 ~ 900.0,10.0 ~ 100.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0
