,alpha,beta,s,c_ANpure,c_CMpure,c_MIX,c_MIX2,c_VMpure,BDDo_ANpure,BDDn_ANpure,BDDo_CMpure,BDDn_CMpure,BDDo_MIX,BDDn_MIX,BDDo_MIX2,BDDn_MIX2,BDDo_VMpure,BDDn_VMpure,t0,t0an,kappa,F_ANpure_AN_oldiold_oldinew,F_CMpure_CM_oldiold_oldinew,L_CMpure_CM_oldiold_newinew,L_CMpure_CM_oldinew_newiold,F_VMpure_VM_oldiold_oldinew,L_VMpure,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,F_MIX2_CM_oldiold_oldinew,L_MIX2_CM_oldiold_newinew,L_MIX2_CM_oldinew_newiold,F_MIX2_AN_oldiold_oldinew,wssd,w
0,0.17840234125078616,2.9209557089442257,0.010004412652836707,0.3849104827493165,0.12393726111336133,0.04983101901181747,0.1065324815069349,0.524077179696965,9.518490364915486,-4.018956909824969,6.97844189878125,-9.416589727466674,5.086905310506471,-4.881157053643936,16.779419673198248,-2.8975166607180523,9.212928498817913,-0.1,393.06279935149314,335.367260096677,13.700605444508948,0.00010001560761646011,0.013053408653432966,0.78995578273838,0.7409307700302012,3.99391197584898,0.08307291331511553,0.09037671880369678,0.017134222428986268,0.0069277637811547095,0.07692076966435561,7.611072134877999,0.7147969030081335,0.18329294012191663,0.6202833621447489,77.37254835635983,new_rt:8
1,0.37058150490452374,0.46550418176774944,0.02430771156487088,0.9823816203586638,0.11399484851279625,0.3088101085172612,1.0981617766842653,0.6068936052944145,5.723720520182693,-2.6216102744255485,6.4034598384733865,-9.566304301850808,3.1503345219205814,-5.075489851221352,5.891060826928985,-6.375475529465904,6.749429635581643,-0.1,347.7679139271085,383.2447067784643,17.870017170511353,0.3057610897284642,4.0,0.24873424113589787,0.33623705475222415,2.8815764517920677,0.1418930098253284,0.5956998575100557,0.24198238659776478,0.23198238659776488,0.5138627873100281,4.596875844569247,1.400326022765556,1.075650887341554,0.5654408461874607,81.2608470989023,old_rt:2
2,0.5753014043629409,0.3244307486844693,0.017577472869818776,0.7478473655816129,0.2715834734060712,0.22051845650694724,0.7883942312497155,0.5200344274597016,2.587375192751626,-2.76788352925346,3.94236357462263,-6.811316957962964,9.891145169620527,-6.821597846064154,7.753603498192221,-4.7243353217599005,3.822571029791793,-0.1,100.13632339977895,609.2564344741279,27.69722222204719,0.32995203776760373,0.6444983569407399,0.8097263821850549,0.993378994152293,0.5883622875193301,0.3821194773722871,0.4181736293780619,0.599733886889475,0.589733886889475,0.0001,5.796862425871008,0.8387047879698898,0.693396859218481,0.5805937578162329,106.72639135469984,new_err:4
3,0.10000819340580391,0.45954803282421613,0.010000000000037824,0.8771129938071286,0.30540691574619305,0.8074824958881113,0.16355012557672394,0.9845438250796802,6.07561532271515,-3.496919724762977,6.627419725797173,-3.317227483558751,1.3198309704137443,-2.7788638706619544,9.926539030644836,-2.3030895961595546,1.9576533084774597,-0.1,132.59738843118612,622.9998641771588,44.54778996041175,0.14001833679040368,0.49640306755337865,0.7380989794934385,0.8903901735975488,0.5804367712760209,0.46055446953533125,0.11963977622536998,0.04566706952837358,0.03560651728561177,0.00010008550424643615,6.797520970593234,0.5214924075290576,0.09342886225255659,0.8655766168455162,105.80965391975846,old_err:1
4,2.871389354689108,1.9077369124819228,0.022636468422529695,0.6266068986910786,0.10122441421670339,0.5770413104921276,3.1670261346170996,0.21537395752171226,6.036029753859395,-6.908574804310322,5.650983695621885,-6.287822872775287,5.647019292184413,-8.695229569926102,1.3325141831974534,-9.610400240801487,1.0419134943962132,-0.1,703.1024036372486,601.8481174885018,12.82926976545412,3.9252630183083843,3.935263018308416,0.9430777495769676,0.637093156679846,3.999974152842377,0.11636139137738619,0.010099999999996273,0.26051073994351204,0.25051073994348894,0.00010000000000110432,3.8728505691275172,0.84660071534006,0.5752292448721491,1.387513468805687,50.4346826686068,--------------
0,0.1 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 10.0,0.01 ~ 10.0,0.01 ~ 10.0,0.01 ~ 10.0,0.01 ~ 10.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ 1.0,1.0 ~ 20.0,-10.0 ~ 1.0,1.0 ~ 10.0,-10.0 ~ -0.1,10.0 ~ 900.0,10.0 ~ 900.0,1.0 ~ 100.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 10.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 10.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0001 ~ 4.0,0.0,--------------
