,alpha,beta,s,c_MIX,BDDo_MIX,BDDn_MIX,t0,t0an,kappa,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew
0,2.9,2.856716894046547,2.0,0.01,2.09397253275626,-2.8077549746181036,640.2248624041514,555.321881798596,78.97852068543249,1.890897230454918,0.010099999999999996,0.00010000000000001447,0.00798618987646777
1,0.4085363726464004,0.3526429235077675,0.02441049957524993,0.7194159964807034,6.937797670248027,-5.019726749076238,179.29325675951696,583.7552407367432,26.39831081830116,0.3120664273324442,0.492457079745972,0.4824570797459744,0.00010000000000224314
2,0.26867221887515436,2.686818088029764,0.027278490243506672,0.2241359548814818,2.9070657410858836,-3.677038369377589,621.4255022847896,592.8043475827493,28.39360292093912,0.04365535577119671,0.0108368985405604,0.0008368973534565838,0.00010000000681209797
3,1.0563521847279969,1.046366258742452,0.013917539278854514,1.2108888557207513,10.0,-4.292062894128238,241.20560777145081,255.556326673878,20.005755360996822,0.9426617827175638,0.04183251910011807,0.03183251910011903,0.8324727434085054
4,2.9,0.04336238733274689,2.0,0.010000000000000064,8.364979482753956,-9.163454682344929,218.103570770426,133.43266263026143,70.20953599111925,2.0,0.010099999999999951,0.0001,0.6458867611767108
5,0.2657318369567984,1.5037780628990396,0.05768429839766715,0.4612039537388076,4.065370822048961,-8.607373669723591,678.9156648632429,656.7678237403267,6.545071186179132,0.028753761643192995,0.1823560167118828,0.17235601671188297,0.00010000000000027068
6,0.35420171181255883,0.4537737120059587,0.02827624955910604,1.2363432778292798,6.799518031605803,-7.179952178983546,347.3597871135977,390.0306835268084,13.842919950164818,0.7267821712951806,0.23652885815510827,0.22652885815510823,0.6212795818585165
0,0.01 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 2.0,1.0 ~ 10.0,-10.0 ~ 1.0,10.0 ~ 900.0,10.0 ~ 900.0,5.0 ~ 100.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0
