,alpha,beta,s,c_MIX,BDDo_MIX,BDDn_MIX,t0,t0an,kappa,F_MIX_CM_oldiold_oldinew,L_MIX_CM_oldiold_newinew,L_MIX_CM_oldinew_newiold,F_MIX_AN_oldiold_oldinew,wssd,w
0,0.45832638757562427,0.4114103689964603,0.02364607251348043,0.7384605236372356,7.108291032346921,-5.232089723508522,293.43546213786755,632.2138103304693,20.1505468678995,0.32552573031649856,0.5662813384627547,0.5562813384627547,0.00010000000000004568,0.5748979020973697,new_rt:8
1,0.4363809166596862,1.1488060849955273,0.04201939589656904,0.5993325710144306,8.067985193335337,-7.323445453038991,584.9320482676663,703.757698423306,6.142690791749319,0.183230398673149,0.5581168116211854,0.5481168116211845,0.0001,36.90140553183769,old_rt:2
2,0.482920086969387,1.3657537184319466,0.02008533339740898,0.7214328631475163,1.175067304702084,-10.0,797.374273481504,622.120456822262,7.116845687142994,0.01010000000000029,0.04015236891025382,0.030152368910253816,0.0001,3.1901527272111387,new_err:4
3,2.9,0.8541218873730501,2.0,0.01000000000000033,8.335314922027788,-9.120668661977476,199.90017520782214,113.2927134052116,72.6314519525535,1.0709818530224116,0.010100000000000173,0.00010000000000014746,0.9149822300620929,40.71785436180103,old_err:1
4,0.3679814779193518,1.0135311785868508,0.036748367352502795,0.6037514825050049,4.3824047975793325,-5.54714743545776,543.1989443760156,553.9327601268917,16.900759329324178,0.17320710330669306,0.17167635742888548,0.16167635742846845,0.11322927306660262,1.0969670306412316,--------------
5,0.40473422160635725,0.4294049046704331,0.01560404538907015,0.7448922854841299,3.752975243605384,-3.97390096006355,162.63517185371992,233.33243616336668,60.565952985913825,0.30630635025702313,0.12933800829190312,0.11933800829190738,0.23115047158571542,16.527852058507463,--------------
6,0.5865497026317327,0.5480542495898097,0.022560254378099113,0.7348975358109441,4.815293646266382,-4.557253321507837,287.21774040141656,555.8012661879418,34.10782256265256,0.23855371450561644,0.38743709646473123,0.37743709646473117,0.0001,2.804191161482219,--------------
0,0.01 ~ 2.9,0.01 ~ 4.0,0.01 ~ 2.0,0.01 ~ 2.0,1.0 ~ 10.0,-10.0 ~ 1.0,10.0 ~ 900.0,10.0 ~ 900.0,5.0 ~ 100.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0001 ~ 2.0,0.0,--------------
