"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"127","MIX",3,"Old","AN",628,0.119047619047619
"128","MIX",3,"Old","CM",617.5,0.08
"129","MIX",4,"New","AN",617,0
"130","MIX",4,"New","CM",709,0.163265306122449
"131","MIX",4,"Old","AN",585,0.0408163265306123
"132","MIX",4,"Old","CM",556.5,0.0384615384615384
"133","MIX",5,"New","AN",770.5,0.0196078431372549
"134","MIX",5,"New","CM",924,0.0476190476190477
"135","MIX",5,"Old","AN",883,0
"136","MIX",5,"Old","CM",809.5,0.0370370370370371
"137","MIX",7,"New","AN",545,0
"138","MIX",7,"New","CM",583.5,0.142857142857143
"139","MIX",7,"Old","AN",443,0.0652173913043478
"140","MIX",7,"Old","CM",554,0.12
"141","MIX",8,"New","AN",672,0.0566037735849056
"142","MIX",8,"New","CM",878,0.12
"143","MIX",8,"Old","AN",743.5,0.0476190476190477
"144","MIX",8,"Old","CM",788.5,0.148936170212766
"145","MIX",9,"New","AN",761,0.0555555555555556
"146","MIX",9,"New","CM",815,0.117647058823529
"147","MIX",9,"Old","AN",830,0.195652173913043
"148","MIX",9,"Old","CM",760.5,0.152542372881356
"149","MIX",10,"New","AN",851,0.027027027027027
"150","MIX",10,"New","CM",916.5,0.0545454545454546
"151","MIX",10,"Old","AN",915,0.0222222222222223
"152","MIX",10,"Old","CM",938,0.145454545454546
"153","MIX",11,"New","AN",1491,0.270833333333333
"154","MIX",11,"New","CM",1107,0.0377358490566038
"155","MIX",11,"Old","AN",998,0.0476190476190477
"156","MIX",11,"Old","CM",1065.5,0
"157","MIX",12,"New","AN",1419,0
"158","MIX",12,"New","CM",1277,0.0370370370370371
"159","MIX",12,"Old","AN",975,0.0434782608695652
"160","MIX",12,"Old","CM",1123,0.0600000000000001
"161","MIX",13,"New","AN",687,0.0232558139534884
"162","MIX",13,"New","CM",821,0.0666666666666667
"163","MIX",13,"Old","AN",670.5,0.0370370370370371
"164","MIX",13,"Old","CM",676,0.08
"165","MIX",14,"New","AN",583,0.02
"166","MIX",14,"New","CM",748,0.0681818181818182
"167","MIX",14,"Old","AN",607,0
"168","MIX",14,"Old","CM",609,0.04
"169","MIX",15,"New","AN",805,0.0227272727272727
"170","MIX",15,"New","CM",954,0.137254901960784
"171","MIX",15,"Old","AN",934,0.0555555555555556
"172","MIX",15,"Old","CM",980,0.024390243902439
"173","MIX",16,"New","AN",590,0
"174","MIX",16,"New","CM",605,0.0444444444444444
"175","MIX",16,"Old","AN",635,0.0576923076923077
"176","MIX",16,"Old","CM",605.5,0.0222222222222223
"177","MIX",17,"New","AN",731,0
"178","MIX",17,"New","CM",827,0.0833333333333334
"179","MIX",17,"Old","AN",687,0.0666666666666667
"180","MIX",17,"Old","CM",726,0.0357142857142857
"181","MIX",18,"New","AN",628,0.0238095238095238
"182","MIX",18,"New","CM",695,0.188679245283019
"183","MIX",18,"Old","AN",608,0.0392156862745098
"184","MIX",18,"Old","CM",626,0.0434782608695652
"185","MIX",21,"New","AN",584,0.184210526315789
"186","MIX",21,"New","CM",591.5,0.0508474576271186
"187","MIX",21,"Old","AN",570.5,0.04
"188","MIX",21,"Old","CM",524.5,0.0222222222222223
"189","MIX",22,"New","AN",645,0.0487804878048781
"190","MIX",22,"New","CM",714,0.0357142857142857
"191","MIX",22,"Old","AN",686.5,0.0980392156862745
"192","MIX",22,"Old","CM",671,0.295454545454545
"193","MIX",23,"New","AN",593,0
"194","MIX",23,"New","CM",624,0.113636363636364
"195","MIX",23,"Old","AN",596,0
