"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"127","CMat",34,"Old","AN",545,0.0517241379310345
"128","CMat",34,"Old","CM",516,0
"129","CMat",35,"New","AN",695,0.0232558139534884
"130","CMat",35,"New","CM",796.5,0.0454545454545454
"131","CMat",35,"Old","AN",813,0
"132","CMat",35,"Old","CM",843,0.0192307692307693
"133","CMat",36,"New","AN",1052,0.0384615384615384
"134","CMat",36,"New","CM",1376,0.169811320754717
"135","CMat",36,"Old","AN",1110,0.0930232558139535
"136","CMat",36,"Old","CM",924,0.13953488372093
"137","MIX",2,"New","AN",841,0.189655172413793
"138","MIX",2,"New","CM",752,0.363636363636364
"139","MIX",2,"Old","AN",723,0.292682926829268
"140","MIX",2,"Old","CM",850,0.421052631578947
"141","MIX",3,"New","AN",587,0.075
"142","MIX",3,"New","CM",633,0.142857142857143
"143","MIX",3,"Old","AN",628,0.119047619047619
"144","MIX",3,"Old","CM",617.5,0.08
"145","MIX",4,"New","AN",617,0
"146","MIX",4,"New","CM",709,0.163265306122449
"147","MIX",4,"Old","AN",585,0.0408163265306123
"148","MIX",4,"Old","CM",556.5,0.0384615384615384
"149","MIX",5,"New","AN",770.5,0.0196078431372549
"150","MIX",5,"New","CM",924,0.0476190476190477
"151","MIX",5,"Old","AN",883,0
"152","MIX",5,"Old","CM",809.5,0.0370370370370371
"153","MIX",6,"New","AN",808,0.133333333333333
"154","MIX",6,"New","CM",824,0.204545454545455
"155","MIX",6,"Old","AN",694,0.348837209302326
"156","MIX",6,"Old","CM",656,0.172413793103448
"157","MIX",7,"New","AN",545,0
"158","MIX",7,"New","CM",583.5,0.142857142857143
"159","MIX",7,"Old","AN",443,0.0652173913043478
"160","MIX",7,"Old","CM",554,0.12
"161","MIX",8,"New","AN",672,0.0566037735849056
"162","MIX",8,"New","CM",878,0.12
"163","MIX",8,"Old","AN",743.5,0.0476190476190477
"164","MIX",8,"Old","CM",788.5,0.148936170212766
