"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"80",4,5,3,1,6,6,1,1,1,433,10,7,3,8,2,1,10
"81",4,6,3,1,6,3,4,1,1,1013,9,10,2,9,7,3,1
"82",4,7,3,2,4,0,0,2,1,782,10,2,8,7,3,NA,NA
"83",4,8,2,1,4,4,1,1,1,488,1,9,2,10,1,NA,NA
"84",4,9,2,2,6,0,0,2,1,650,5,8,2,1,3,7,9
"85",4,10,3,1,4,1,4,1,1,832,9,9,7,3,2,NA,NA
"86",4,11,1,2,2,0,0,2,1,511,4,10,3,NA,NA,NA,NA
"87",4,12,2,1,2,1,2,1,1,618,2,2,10,NA,NA,NA,NA
"88",4,13,1,2,4,0,0,2,1,634,4,8,2,3,10,NA,NA
"89",4,14,2,1,2,1,2,1,1,624,2,2,10,NA,NA,NA,NA
"90",4,15,3,2,4,0,0,2,1,863,8,10,3,1,9,NA,NA
"91",4,16,3,1,2,2,1,1,1,651,9,2,9,NA,NA,NA,NA
"92",4,17,1,2,4,0,0,2,1,586,4,9,3,7,2,NA,NA
"93",4,18,1,2,2,0,0,2,1,887,4,1,10,NA,NA,NA,NA
"94",4,19,3,2,2,0,0,2,1,853,7,3,8,NA,NA,NA,NA
"95",4,20,2,1,6,1,6,1,1,768,2,2,10,9,7,3,1
"96",4,21,1,1,4,2,3,2,0,1125,11,8,11,3,7,NA,NA
"97",4,22,3,2,6,0,0,2,1,1205,7,9,2,1,8,10,3
"98",4,23,1,2,6,0,0,2,1,584,4,9,2,3,7,1,10
"99",4,24,2,2,2,0,0,2,1,523,5,3,9,NA,NA,NA,NA
"100",4,25,1,2,4,0,0,2,1,551,4,8,1,9,3,NA,NA
"101",5,1,3,2,4,0,0,2,1,594,10,1,7,9,3,NA,NA
"102",5,2,2,2,6,0,0,2,1,732,5,8,9,7,1,2,3
"103",5,3,2,1,2,2,1,1,1,625,3,10,3,NA,NA,NA,NA
"104",5,4,2,1,6,3,4,1,1,655,2,10,7,2,1,3,9
"105",5,5,1,2,4,0,0,2,1,607,4,7,1,10,2,NA,NA
"106",5,6,1,2,4,0,0,2,1,602,4,2,8,3,7,NA,NA
"107",5,7,2,1,2,2,1,1,1,486,3,10,3,NA,NA,NA,NA
"108",5,8,1,1,4,2,3,1,1,768,11,2,11,7,10,NA,NA
"109",5,9,3,2,2,0,0,2,1,672,9,3,7,NA,NA,NA,NA
"110",5,10,2,2,6,0,0,2,1,658,6,10,2,8,3,1,9
"111",5,11,1,2,4,0,0,2,1,568,4,10,1,9,3,NA,NA
"112",5,12,2,1,6,4,3,1,1,728,1,10,2,7,1,8,3
"113",5,13,3,2,4,0,0,2,1,1562,10,8,3,1,7,NA,NA
"114",5,14,2,1,6,3,4,1,1,829,2,10,1,2,3,7,8
"115",5,15,3,1,2,1,2,1,1,734,7,7,1,NA,NA,NA,NA
"116",5,16,3,2,2,0,0,2,1,989,10,3,9,NA,NA,NA,NA
"117",5,17,3,2,4,0,0,2,1,1059,10,2,9,8,1,NA,NA
"118",5,18,1,1,6,3,4,1,0,823,11,2,3,11,10,8,9
"119",5,19,3,1,2,1,2,1,1,616,9,9,3,NA,NA,NA,NA
"120",5,20,3,2,4,0,0,1,0,813,9,10,8,1,3,NA,NA
"121",5,21,1,1,4,3,2,1,1,986,11,3,7,11,8,NA,NA
"122",5,22,3,2,2,0,0,2,1,555,8,2,10,NA,NA,NA,NA
"123",5,23,3,2,6,0,0,2,1,915,7,2,10,3,1,8,9
"124",5,24,3,2,6,0,0,1,0,755,9,3,10,1,8,2,7
"125",5,25,2,1,6,1,6,2,0,1868,3,3,2,7,9,8,1
"126",6,1,3,2,4,0,0,2,1,773,9,7,8,2,3,NA,NA
"127",6,2,2,1,6,4,3,1,1,740,2,7,1,10,2,8,3
"128",6,3,2,1,2,2,1,1,1,529,2,9,2,NA,NA,NA,NA
"129",6,4,3,1,2,2,1,1,1,655,9,2,9,NA,NA,NA,NA
"130",6,5,3,1,2,1,2,1,1,731,9,9,1,NA,NA,NA,NA
"131",6,6,1,1,6,4,3,1,0,880,11,8,9,10,11,1,2
"132",6,7,2,2,4,0,0,2,1,774,5,3,7,10,2,NA,NA
