,Oldnew,Setsize,Probtype,Lag,Error,FileCondi,RT
126,old,8,AN,1,0,ANpure,772.242718446602
127,old,8,AN,1,0,MIX,744.4666666666667
128,old,8,AN,1,0,MIX2,914.15
129,old,8,AN,1,1,ANpure,257.5
130,old,8,AN,2,0,ANpure,805.0701754385965
131,old,8,AN,2,0,MIX,753.1458333333334
132,old,8,AN,2,0,MIX2,907.671875
133,old,8,AN,2,1,ANpure,979.3333333333334
134,old,8,AN,2,1,MIX2,898.0
135,old,8,AN,3,0,ANpure,830.588785046729
136,old,8,AN,3,0,MIX,824.2096774193549
137,old,8,AN,3,0,MIX2,1001.6290322580645
138,old,8,AN,3,1,ANpure,1120.2
139,old,8,AN,3,1,MIX,1126.8333333333333
140,old,8,AN,3,1,MIX2,986.8571428571429
141,old,8,AN,4,0,ANpure,904.5288461538462
142,old,8,AN,4,0,MIX,872.2
143,old,8,AN,4,0,MIX2,1006.7454545454545
144,old,8,AN,4,1,ANpure,762.0
145,old,8,AN,4,1,MIX,861.0
146,old,8,AN,4,1,MIX2,993.0
147,old,8,AN,5,0,ANpure,898.9224137931035
148,old,8,AN,5,0,MIX,823.1379310344828
149,old,8,AN,5,0,MIX2,983.275
150,old,8,AN,5,1,ANpure,832.0
151,old,8,AN,5,1,MIX,713.1
152,old,8,AN,5,1,MIX2,858.7692307692307
153,old,8,AN,6,0,ANpure,860.8440366972477
154,old,8,AN,6,0,MIX,864.2857142857143
155,old,8,AN,6,0,MIX2,981.1475409836065
156,old,8,AN,6,1,ANpure,1130.5454545454545
157,old,8,AN,6,1,MIX,1083.125
158,old,8,AN,6,1,MIX2,897.5714285714286
159,old,8,AN,7,0,ANpure,886.3739130434783
160,old,8,AN,7,0,MIX,896.8823529411765
161,old,8,AN,7,0,MIX2,1006.672131147541
162,old,8,AN,7,1,ANpure,984.0
163,old,8,AN,7,1,MIX,1049.3
164,old,8,AN,7,1,MIX2,1023.2
165,old,8,AN,8,0,ANpure,872.9173553719008
166,old,8,AN,8,0,MIX,915.1935483870968
167,old,8,AN,8,0,MIX2,936.7704918032787
168,old,8,AN,8,1,ANpure,915.3478260869565
169,old,8,AN,8,1,MIX,1273.5
170,old,8,AN,8,1,MIX2,1025.3
171,old,8,CM,1,0,CMpure,694.0598290598291
172,old,8,CM,1,0,MIX,742.1428571428571
173,old,8,CM,1,0,MIX2,775.457627118644
174,old,8,CM,1,1,CMpure,908.4
175,old,8,CM,1,1,MIX,1103.0
176,old,8,CM,1,1,MIX2,899.0
177,old,8,CM,2,0,CMpure,752.695652173913
178,old,8,CM,2,0,MIX,790.25
179,old,8,CM,2,0,MIX2,842.078125
180,old,8,CM,2,1,CMpure,872.6666666666666
181,old,8,CM,2,1,MIX,1109.0
182,old,8,CM,2,1,MIX2,1533.6666666666667
183,old,8,CM,3,0,CMpure,769.6637168141593
184,old,8,CM,3,0,MIX,763.2857142857143
185,old,8,CM,3,0,MIX2,963.5
186,old,8,CM,3,1,CMpure,878.3
187,old,8,CM,3,1,MIX,1091.3333333333333
188,old,8,CM,3,1,MIX2,1329.5
189,old,8,CM,4,0,CMpure,822.9910714285714
190,old,8,CM,4,0,MIX,795.9428571428572
191,old,8,CM,4,0,MIX2,960.7571428571429
192,old,8,CM,4,1,CMpure,980.5
193,old,8,CM,4,1,MIX,951.4
194,old,8,CM,4,1,MIX2,1159.6
195,old,8,CM,5,0,CMpure,788.2272727272727
196,old,8,CM,5,0,MIX,829.9333333333333
197,old,8,CM,5,0,MIX2,939.7741935483871
198,old,8,CM,5,1,CMpure,1006.4
199,old,8,CM,5,1,MIX,957.0
200,old,8,CM,5,1,MIX2,1118.4
201,old,8,CM,6,0,CMpure,825.6771653543307
202,old,8,CM,6,0,MIX,902.9814814814815
203,old,8,CM,6,0,MIX2,980.0
204,old,8,CM,6,1,CMpure,1029.148148148148
205,old,8,CM,6,1,MIX,1115.25
206,old,8,CM,6,1,MIX2,1289.6666666666667
207,old,8,CM,7,0,CMpure,827.1616161616162
208,old,8,CM,7,0,MIX,786.2
209,old,8,CM,7,0,MIX2,896.36
210,old,8,CM,7,1,CMpure,890.7272727272727
211,old,8,CM,7,1,MIX,1097.75
212,old,8,CM,7,1,MIX2,1381.6666666666667
213,old,8,CM,8,0,CMpure,819.9444444444445
214,old,8,CM,8,0,MIX,901.9166666666666
215,old,8,CM,8,0,MIX2,919.2553191489362
216,old,8,CM,8,1,CMpure,1107.421052631579
217,old,8,CM,8,1,MIX,979.0
218,old,8,CM,8,1,MIX2,1131.6666666666667
219,old,8,VM,1,0,VMpure,798.5757575757576
220,old,8,VM,1,1,VMpure,777.5
221,old,8,VM,2,0,VMpure,877.2833333333333
222,old,8,VM,2,1,VMpure,1045.7272727272727
223,old,8,VM,3,0,VMpure,934.0272727272727
224,old,8,VM,3,1,VMpure,979.375
225,old,8,VM,4,0,VMpure,912.04
226,old,8,VM,4,1,VMpure,986.5384615384615
227,old,8,VM,5,0,VMpure,925.3047619047619
228,old,8,VM,5,1,VMpure,928.5384615384615
229,old,8,VM,6,0,VMpure,988.9775280898876
230,old,8,VM,6,1,VMpure,956.25
231,old,8,VM,7,0,VMpure,971.8613861386139
232,old,8,VM,7,1,VMpure,937.7297297297297
233,old,8,VM,8,0,VMpure,996.8421052631579
234,old,8,VM,8,1,VMpure,937.6896551724138
